date,AT0000652011,AT0000743059,BE0003565737,BE0003739530,BE0003797140,DK0010274414,FI0009000681,FI0009003727,FI0009007884,FI0009013296,FI0009013403,FI4000297767,FR0000045072,FR0000073272,FR0000120321,FR0000120578,FR0000120628,FR0000120644,FR0000120685,FR0000120859,FR0000121121,FR0000121261,FR0000121485,FR0000121667,FR0000121964,FR0000121972,FR0000125486,FR0000130452,FR0000130809,FR0000131104,FR0000131906,FR0000133308,FR0010040865,FR0010411983,DE0005140008,DE0005190003,DE0005190003.1,DE0005552004,DE0005557508,DE0005773303,DE0005785604,DE0005785604.1,DE0005785802,DE0005810055,DE0006070006,DE0006599905,DE0007100000,DE0008232125,DE0008402215,DE0008404005,DE0008430026,IE0001827041,IE0004906560,IT0000062072,IT0000072618,IT0000072618.1,IT0003132476,IT0003153415,IT0003497168,IT0003497168.1,IT0003506190,IT0003856405,NL0000009082,NL0000009165,NL0000009538,NL0000235190,NL0000360618,NL0000395903,ES0113211835,ES0116870314,ES0173516115,ES0178430E18,SE0000107419,SE0000108227,SE0000108656,SE0000113250,SE0000115446,SE0000120669,SE0000148884,SE0000171100,SE0000202624,SE0000242455,SE0000310336,SE0000667891,SE0000667925,SE0000695876
2007-01-31,24528200000,16033900000,46226300000,12146500000,17147300000,32199300000,91653400000.0,5460150000,4887100000,7809610000,6427660000,42326200000,64125200000,9892010000,67601100000.0,119505000000.0,88226200000,40186400000,34263600000,6052110000,13589200000,13143000000,18941500000,11620600000,8182590000,27364600000,32162900000,9124860000,81416700000,104014000000.0,35260600000,71922700000,10315000000,3225250000,74307000000,39970200000,39970200000,36683000000,78658200000,6983510000,8220560000,8220560000,13052500000,21430800000,5712910000,5982880000,63244300000.0,12807500000,5378520000,87592000000.0,36204800000,21436500000,4764830000,55018700000,96365100000.0,96365100000.0,128939000000.0,11517700000,54567800000,54567800000,16742700000,12037200000,27774100000,24821900000,44445200000,27074400000.0,4948810000,9258870000,88188200000,17887000000,40001700000,107430000000.0,18506200000,8472260000,63864100000,8223020000,31459900000,6227650000,22923500000,6227650000,4094100000,19472300000,4957110000,18432200000,35871400000,5239950000
2007-02-28,23431600000,16658400000,44611600000,11840500000,16471600000,32333100000,91410600000.0,5701340000,4904910000,8238140000,6240610000,41148900000,65734800000,9569130000,65563200000.0,115599000000.0,89080700000,41330900000,32284800000,5650490000,14579700000,14945200000,19317000000,11851300000,9102240000,27529300000,32819700000,9379460000,77753800000,97449300000.0,33893500000,70718000000,11453700000,3008350000,69052800000,38083500000,38083500000,38066300000,82002800000,7525400000,11307600000,11307600000,13835600000,20430000000,6096940000,8038950000,69266800000.0,12398000000,5132270000,94641200000.0,36586900000,22664900000,4894200000,55004100000,93066100000.0,93066100000.0,122807000000.0,11707300000,55849200000,55849200000,17241600000,12568100000,29756800000,24152200000,41996500000,27979700000.0,5003900000,9343680000,86626500000,19174600000,38821900000,106147000000.0,17646500000,8021440000,57592400000,8173270000,33135200000,6902900000,21067900000,6902900000,3907620000,17732300000,4846990000,18302000000,37902800000,5591670000
2007-03-31,24549000000,18788600000,45586300000,10669400000,17215200000,32520300000,96381800000.0,5899380000,4810450000,8834660000,6229830000,43191300000,64207800000,10175400000,68342300000.0,118191000000.0,88752000000,42607700000,29666600000,5878570000,14787200000,15860100000,20525700000,11927400000,8929760000,28897900000,36876700000,13624200000,79722300000,97414200000.0,33315900000,68789900000,11576900000,3197400000,70806400000,38656000000,38656000000,36092100000,75886900000,6680250000,12340600000,12340600000,14213100000,22903900000,7095540000,8326210000,83490200000.0,12433300000,5371290000,90241600000.0,38819400000,23201100000,5139750000,54355900000,96964900000.0,96964900000.0,130306000000.0,12416600000,53083200000,53083200000,18324600000,12786800000,30031400000,25624900000,43635500000,25310100000.0,5072130000,9260850000,87188800000,21020000000,41153100000,108441000000.0,18107000000,8943380000,59485900000,8832060000,36148600000,7865820000,21995400000,7865820000,4295300000,18071000000,5009320000,20609000000,38799700000,5797400000
2007-04-30,25391700000,19054000000,48756900000,10951100000,17868100000,32916500000,102395000000.0,6438540000,4865030000,9173390000,6632950000,44953600000,69849300000,10128800000,75285300000.0,125172000000.0,96935500000,43123300000,33423200000,6071000000,15180800000,18390000000,22413100000,12554700000,8962990000,32333900000,38498900000,12572500000,98534400000,109025000000.0,37215600000,76753400000,11824000000,3473620000,81282500000,40349700000,40349700000,41571900000,83485100000,6676730000,12976000000,12976000000,14721200000,23544400000,7402400000,8622420000,83177100000.0,13784200000,6149410000,103784000000.0,41065500000,23848200000,5536430000,59181300000,107481000000.0,107481000000.0,133517000000.0,12558500000,55278700000,55278700000,18948600000,13163000000,32893800000,26301500000,47218200000,26417600000.0,5091360000,9175430000,85543500000,22655500000,40380600000,110863000000.0,20626100000,9501300000,62612700000,9283510000,42040200000,9151190000,25414200000,9151190000,4345160000,20082800000,5204620000,22449100000,36705900000,6885820000
2007-05-31,24725300000,19906300000,50568800000,10716500000,18647400000,30462100000,110178000000.0,6307240000,4793630000,9684460000,6528320000,42814100000,67970000000,10730900000,74366500000.0,131036000000.0,91667200000,40941800000,31963500000,6312680000,15118500000,18812500000,23427600000,12475400000,8941740000,34842600000,37789000000,13070400000,89865600000,113159000000.0,40722300000,80007700000,11280600000,3720160000,79957100000,43400100000,43400100000,38231500000,84644600000,6634240000,12002600000,12002600000,14336300000,23663000000,8111620000,8498090000,93334300000.0,13261800000,5800810000,101270000000.0,43202200000,26493000000,5338350000,58613300000,97094400000.0,97094400000.0,141586000000.0,12033400000,52833800000,52833800000,19263700000,13366400000,32711500000,28537500000,48576000000,25722700000.0,5210550000,9609760000,89726100000,26398900000,44749400000,111802000000.0,19804800000,9776660000,61230400000,9252070000,44882800000,9482740000,22577500000,9482740000,4386500000,19008100000,5183760000,22090900000,33286000000,7034110000
2007-06-30,24753300000,20104300000,49651100000,10887500000,18391500000,28755300000,113326000000.0,6307490000,4546860000,10113800000,6907310000,40817200000,67331900000,10723600000,74440000000.0,110723000000.0,90918200000,42493600000,29864800000,6452640000,7904330000,20200800000,22528200000,12426700000,7871990000,34042600000,36488800000,13359700000,85930600000,111617000000.0,45995100000,72005600000,10457800000,3715530000,76754300000,42054400000,42054400000,39122200000,80844600000,6555880000,11837300000,11837300000,13643800000,22681100000,7648340000,8925790000,95493200000.0,12873000000,5870640000,107262000000.0,40855000000,27071700000,4910550000,56669900000,95274100000.0,95274100000.0,145896000000.0,11615900000,50188000000,50188000000,19059600000,13141300000,32173000000,28854400000,48839000000,26726100000.0,5403890000,9469190000,87536700000,27363800000,48355100000,106911000000.0,19853200000,9646660000,64895600000,8562160000,43131600000,10529300000,22328400000,10529300000,4092700000,18807000000,5184730000,24165900000,33233900000,6791900000
2007-07-31,23985400000,18957600000,48161900000,10361100000,19775400000,29697400000,116473000000.0,6715050000,4733910000,9254680000,7396260000,42170000000,63840200000,10513800000,72258600000.0,114504000000.0,83328700000,37660000000,27291300000,6257480000,7688730000,19245500000,22565500000,12806900000,7199000000,33230200000,35019200000,12498000000,81240300000,104668000000.0,41707000000,70778200000,10218400000,3511210000,72530100000,40428100000,40428100000,35428900000,75366500000,6291380000,11839000000,11839000000,13944200000,23371000000,7121350000,8106110000,94027900000.0,12947600000,5424580000,97585000000.0,38418500000,24527100000,4645240000,55744800000,97152400000.0,97152400000.0,141175000000.0,10859100000,49151400000,49151400000,19392600000,12902400000,30137700000,31257300000,46733700000,24778300000.0,5845650000,9117640000,88044100000,25975700000,46636600000,112840000000.0,20003400000,9671740000,61295300000,8631970000,39793800000,9396500000,23844700000,9396500000,4196110000,19019000000,5253720000,24399400000,34509700000,7139330000
2007-08-31,22926400000,18622700000,45973600000,10320300000,19071900000,28704500000,132338000000.0,5960080000,4621370000,8868500000,7126290000,39453600000,62175900000,9849170000,73365800000.0,111204000000.0,84193600000,39076500000,26005600000,5811090000,7239880000,18132600000,22207600000,12652100000,7284680000,32575400000,34354200000,10919000000,75215700000,98829700000.0,38450900000,78650000000,10225400000,4474920000,64938200000,39259100000,39259100000,35101000000,81067400000,6256170000,11248700000,11248700000,14507900000,22077500000,7024040000,8286910000,91329400000.0,13367700000,5599420000,97836700000.0,38276800000,23671100000,4240760000,57560600000,95771300000.0,95771300000.0,138537000000.0,11522600000,51493700000,51493700000,19065400000,12461300000,30067100000,31036600000,45057100000,24155700000.0,5286830000,8995740000,81758500000,23847900000,44057400000,118527000000.0,18708100000,9278500000,59887800000,8030950000,36824700000,8624300000,20698300000,8624300000,4113160000,16861300000,5161810000,24138800000,35018100000,6715710000
2007-09-30,24125400000,20049400000,50476000000,10828100000,19587200000,28395000000,153409000000.0,6588270000,5166460000,9393030000,7965520000,45256500000,63581500000,10075800000,81133100000.0,115422000000.0,94080000000,40400400000,27093100000,5819130000,7955180000,19359700000,24192900000,13085500000,7951190000,30998500000,37751500000,10567300000,78305200000,102584000000.0,41322200000,87382700000,10577200000,4899870000,67814400000,41735600000,41735600000,35154400000,85763500000,6335740000,11838900000,11838900000,15705700000,27257700000,8498260000,7798480000,103650000000.0,13181500000,6123480000,106712000000.0,42608800000,21714300000,5174750000,61845100000,98385400000.0,98385400000.0,148560000000.0,12180700000,55235400000,55235400000,19328500000,12394200000,33494800000,32179200000,51619000000,25039800000.0,5548340000,9280680000,87933300000,25305300000,43644600000,133725000000.0,19574000000,9606390000,64672800000,7868430000,37125400000,11774600000,22346500000,11774600000,4569570000,17270500000,5563540000,25502900000,40674400000,7197870000
2007-10-31,25646400000,22419300000,49705700000,10758300000,20598200000,30789900000,159361000000.0,7821250000,4929430000,9211240000,9017540000,46332700000,65084700000,10573500000,81103900000.0,119428000000.0,93822500000,43940000000,27047800000,6190260000,8035710000,19257700000,25454900000,13274000000,7504090000,33741900000,39627100000,10522400000,78222800000,99739700000.0,47818900000,96190700000,10641800000,4974250000,70078500000,43283100000,43283100000,36560800000,89355600000,7140420000,12121700000,12121700000,15594000000,31537300000,9660590000,8076320000,114950000000.0,13520400000,6365050000,102582000000.0,42478800000,20841000000,5228550000,66793800000,100704000000.0,100704000000.0,146153000000.0,12648000000,57572400000,57572400000,22467500000,12612500000,35552500000,34267900000,47244800000,27623100000.0,5510340000,9782890000,94267700000,27523600000,48172700000,157524000000.0,18819800000,8837700000,48279800000,7827830000,41423700000,10259400000,21004700000,10259400000,4983460000,16109700000,5970430000,22417000000,44195300000,8845410000
