ISIN,Name,Sector,Country
AEA000201011,Abu Dhabi Commercial Bank PJSC,55101010,AE
AEA001501013,Arabtec Holding PJSC,52201020,AE
AEA002001013,Aldar Properties Pjsc,60101010,AE
AED000201015,Dubai Islamic Bank PJSC,55101010,AE
AED000601016,Dubai Investments PJSC,55601010,AE
AED000901010,Dubai Financial Market PJSC,55102050,AE
AED001301012,Damac Properties Dubai PJSC Co,60101010,AE
AED001501017,DXB Entertainments PJSC,53301040,AE
AEDFXA0M6V00,DP World Ltd (UAE),52407020,AE
AEE000301011,Emaar Properties PJSC,60101010,AE
AEE000401019,Emirates Telecommunications Group Company PJSC,58401010,AE
AEE001501015,Emaar Malls PJSC,60101010,AE
AEE001901017,Emaar Development PJSC,60101010,AE
AEF000201010,First Gulf Bank PJSC,55101010,AE
AEN000101016,First Abu Dhabi Bank PJSC,55101010,AE
AN8068571086,Schlumberger NV,50103020,US
ARBANS010010,Banco Macro SA,55101010,AR
ARHOLD010025,Petrobras Energia Participaciones SA,50102010,AR
ARP125991090,Banco Bbva Argentina SA,55101010,AR
ARP331091024,Cresud SACIF y A,58401010,AR
ARP495251018,Grupo Financiero Galicia SA,55101010,AR
ARP533511050,Unipar Indupa SAIC,51101010,AR
ARP588091073,IRSA Inversiones y Representaciones SA,54301020,AR
ARP689251337,Molinos Rio de la Plata SA,54102020,AR
ARP9028N1016,Telecom Argentina SA,58401010,AR
ARP9308R1039,Transportadora de Gas del Sur SA,50102010,AR
ARSIDE010029,Ternium Argentina SA,51201020,AR
AT000000STR1,STRABAG SE,52201020,AT
AT00000VIE62,Flughafen Wien AG,52407010,AT
AT0000606306,Raiffeisen Bank International AG,55101010,AT
AT0000642806,Immoeast AG,60101010,AT
AT0000652011,Erste Group Bank AG,55101010,AT
AT0000720008,Telekom Austria AG,58401010,AT
AT0000730007,Andritz AG,52102010,AT
AT0000743059,OMV AG,50102030,AT
AT0000746409,Verbund AG,59101010,AT
AT0000767553,bwin Interactive Entertainment AG,53301030,AT
AT0000831706,Wienerberger AG,51202010,AT
AT0000903851,voestalpine High Performance Metals GmbH,51201020,AT
AT0000908504,Vienna Insurance Group AG Wiener Versicherung Grup,55301010,AT
AT0000937503,voestalpine AG,51201020,AT
AT0000938204,Mayr Melnhof Karton AG,51302020,AT
AT0000A21KS2,Immofinanz AG,60101010,AT
AU000000AAN6,Westnet WA Infrastructure Holdings Pty Ltd,50103020,AU
AU000000ABS3,ZYX Learning Centres Ltd,54201030,AU
AU000000AGL7,AGL Energy Ltd,59104010,AU
AU000000AIO7,Pacific National Holdings Pty Ltd,52405030,AU
AU000000ALL7,Aristocrat Leisure Ltd,53301030,AU
AU000000ALQ6,ALS Ltd,52203040,AU
JE00BJ1F3079,Amcor PLC,51302010,GB
AU000000AMP6,AMP Ltd,55102020,AU
AU000000ANN9,Ansell Ltd,56101020,AU
AU000000ANZ3,Australia and New Zealand Banking Group Ltd,55101010,AU
AU000000AOE6,Arrow Energy Pty Ltd,50102020,AU
AU0000001901,APA Group,59102010,AU
AU000000ARI0,ACN 004 410 833 Ltd,51201020,AU
AU000000AST5,AusNet Services Ltd,59101010,AU
AU000000ASX7,ASX Ltd,55102050,AU
AU000000AWC3,Alumina Ltd,51201030,AU
AU000000AXA5,AMP AAPH Ltd,52203040,AU
AU000000AZJ1,Aurizon Holdings Ltd,52405030,AU
AU000000BBG6,Billabong International Ltd,52203040,AU
AU000000BEN6,Bendigo and Adelaide Bank Ltd,55101010,AU
AU000000BHP4,BHP Group Ltd,51201080,AU
AU000000BLD2,Boral Ltd,51202010,AU
AU000000BLY8,Boart Longyear Ltd,50103010,US
AU000000BNB2,Babcock & Brown Ltd,52203040,AU
AU000000BOQ8,Bank of Queensland Ltd,55101010,AU
AU000000BSL0,BlueScope Steel Ltd,51201020,AU
AU000000BXB1,Brambles Ltd,51302010,AU
AU000000CBA7,Commonwealth Bank of Australia,55101010,AU
AU000000CCL2,Coca-Cola Amatil Ltd,54101030,AU
AU000000CER5,Vicinity Ltd,60101010,AU
AU000000CGF5,Challenger Ltd,55301030,AU
AU000000CGJ7,Coles Group Ltd,54301020,AU
AU000000CIM7,CIMIC Group Ltd,52201020,AU
AU000000CNP0,CNPR Ltd,60102020,AU
AU000000COH5,Cochlear Ltd,56101020,AU
AU000000CPA7,Trustee for DEXUS CPA Trust,60102020,AU
AU000000CPU5,Computershare Ltd,57201010,AU
AU000000CQO6,Charter Hall Office Trust,60102020,AU
AU000000CSL8,CSL Ltd,56201040,AU
AU000000CSR5,CSR Ltd,51202010,AU
AU000000CTX1,nan,,
AU000000CWN6,Crown Resorts Ltd,53301030,AU
AU000000DMP0,Domino's Pizza Enterprises Ltd,53301020,AU
AU000000DOW2,Downer EDI Ltd,52201020,AU
AU0000DUEXX9,DUET Group,59104010,AU
AU000000CPA7,Trustee for DEXUS CPA Trust,60102020,AU
AU000000ELD6,Elders Ltd,54102010,AU
AU000000ERA9,Energy Resources Of Australia Ltd,50301010,AU
AU000000FGL6,Foster's Group Pty Ltd,54101010,AU
AU000000FLT9,Flight Centre Travel Group Ltd,53301040,AU
AU000000FMG4,Fortescue Metals Group Ltd,51201020,AU
AU000000FXJ5,Fairfax Media Ltd,53302040,AU
AU000000GFF8,Goodman Fielder Pty Ltd,54102020,AU
AU000000GMG2,Goodman Group,60102020,AU
AU000000GPT8,GPT Group,60102010,AU
AU000000HSO1,Healthscope Ltd,56102010,AU
AU000000HT18,HT&E Ltd,53302020,AU
AU000000HVN7,Harvey Norman Holdings Ltd,53402010,AU
AU000000IAG3,Insurance Australia Group Ltd,55301020,AU
AU000000IIF8,Goodman Sub Trust Australia,60101010,AU
AU000000ILU1,Iluka Resources Ltd,51201050,AU
AU000000IPG1,Investa Property Group,60101010,AU
AU000000IPL1,Incitec Pivot Ltd,51101090,AU
AU000000ITO7,Intoll Group,52201020,AU
AU000000JHX1,James Hardie Industries PLC,51202010,IE
AU000000LLC3,LendLease Group,52201020,AU
AU000000LNN6,Lion Nathan Pty Ltd,54101020,AU
AU000000LYC6,Lynas Rare Earths Ltd,51201010,MY
AU000000MCC0,Peabody Energy Australia PCI Pty Ltd,50101010,AU
AU000000MCG1,Macquarie Communications Infrastructure Group,58401010,AU
AU000000MFG4,Magellan Financial Group Ltd,55102020,AU
AU000000MGR9,Mirvac Group,60102010,AU
AU000000MPL3,Medibank Private Ltd,55301030,AU
AU000000MQG1,Macquarie Group Ltd,55102030,AU
AU000000MTS0,Metcash Ltd,54301020,AU
AU000000MXG7,Brookfield Australia Investments Ltd,55102020,AU
AU000000MYP6,Mayne Pharma  Pty Ltd (Fka  Faulding Fh & Co),56201040,AU
AU000000NAB4,National Australia Bank Ltd,55101010,AU
AU000000NCM7,Newcrest Mining Ltd,51201060,AU
AU000000NUF3,Nufarm Ltd,51101020,AU
AU0000CFXXX2,Novion Property Group,60102020,AU
AU000000ORG5,Origin Energy Ltd,59101010,AU
AU000000ORI1,Orica Ltd,51101010,AU
AU000000OZL8,OZ Minerals Ltd,51201080,AU
AU000000PBG6,Hanes Australasia Pty Ltd,53202020,AU
AU000000PDN8,Paladin Energy Ltd,50301010,AU
AU000000PPT9,Perpetual Ltd,55102020,AU
AU000000PTM6,Platinum Asset Management Ltd,55102020,AU
AU000000QAN2,Qantas Airways Ltd,52406010,AU
AU000000QBE9,QBE Insurance Group Ltd,55301020,AU
AU000000REA9,REA Group Ltd,57201030,AU
AU000000RHC8,Ramsay Health Care Ltd,56102010,AU
AU000000RIN3,Holcim (Australia) Holdings Pty Ltd,51202010,AU
AU000000RIO1,Rio Tinto Ltd,51201080,AU
AU000000S320,South32 Ltd,51201080,AU
AU000000SCG8,Scentre Group,60101010,AU
AU000000SEK6,Seek Ltd,52203030,AU
AU000000SGB0,St George Bank Ltd,55101010,AU
AU000000SGM7,Sims Ltd,51201020,US
AU000000SGP0,Stockland Corporation Ltd,60101010,AU
AU000000SGR6,Star Entertainment Group Ltd,53301030,AU
AU000000SHL7,Sonic Healthcare Ltd,56102010,AU
AU000000SOL3,Washington H Soul Pattinson and Company Ltd,50101010,AU
AU000000SRS1,Spicers Ltd,51301020,AU
AU000000STO6,Santos Ltd,50102010,AU
AU000000SUN6,Suncorp Group Ltd,55301020,AU
AU000000SYB3,Idameneo No789 Ltd,56102010,AU
AU0000SYDXX1,nan,,
AU000000TAH8,Tabcorp Holdings Ltd,53301030,AU
AU000000TCL6,Transurban Group,52407030,AU
AU000000TLS2,Telstra Corporation Ltd,58401010,AU
AU000000TOL1,Toll Holdings Ltd,52405030,AU
AU000000TPM6,TPG Corporation Ltd,58401010,AU
AU000000TTS5,Tatts Group Ltd,53301030,AU
AU000000TWE9,Treasury Wine Estates Ltd,54101020,AU
AU000000VCX7,Vicinity Centres,60102020,AU
AU000000VOC6,Vocus Group Ltd,58401010,AU
AU000000WBC1,Westpac Banking Corp,55101010,AU
AU000000WES1,Wesfarmers Ltd,53402010,AU
AU000000WFD0,Westfield Corp,60102020,AU
AU000000WHC8,Whitehaven Coal Ltd,50101010,AU
AU000000WOR2,Worley Ltd,50103020,AU
AU000000WOW2,Woolworths Group Ltd,54301020,AU
AU000000WPL2,Woodside Petroleum Ltd,50102020,AU
AU000000WTC3,WiseTech Global Ltd,57201020,AU
AU000000ZFX1,Oz Minerals Holdings Pty Ltd,51201050,AU
AU0000030678,Coles Group Ltd,54301020,AU
AU0000048258,nan,,
AU000000WES1,Wesfarmers Ltd,53402010,AU
AU000000TLS2,Telstra Corporation Ltd,58401010,AU
BE0003470755,Solvay SA,51101010,BE
BE0003562700,Delhaize Le Lion De Leeuw SCA,54301020,BE
BE0003565737,KBC Groep NV,55101010,BE
BE0003593044,Cofinimmo SA,60102020,BE
BE0003735496,Orange Belgium SA,58401020,BE
BE0003739530,Ucb SA,56201040,BE
BE0003755692,AGFA Gevaert NV,56101010,BE
BE0003785020,Omega Pharma NV,54201020,BE
BE0003790079,nan,,
BE0003797140,Groep Brussel Lambert NV,51201050,BE
BE0003810273,Proximus NV,58401010,BE
BE0003816338,Euronav NV,50103030,BE
BE0003817344,Compagnie Maritime Belge SA,52405020,BE
BE0003818359,Galapagos NV,56202010,BE
BE0003826436,Telenet Group Holding NV,58401010,BE
